,compound_name,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_chebi,ui_chebi,gt_index,ui_index
0,L-Lysine,L-lysine,43.18345451,36.78,6.403454509999996,0.7755572,M74.060176T43.1835,CHEBI:18019,18019,1,4
1,D-Alanine,D-alanine,43.0787735,83.03999999999999,39.961226499999995,0.322564169,M90.05511T43.0788,CHEBI:15570,15570,56,13
2,Uracil,Uracil,82.35728455,83.03999999999999,0.6827154499999892,0.050105633,M113.034836T82.3573_2,CHEBI:17568,17568,55,35
3,D-Proline,D-(+)-proline,43.95309639,59.46,15.506903610000002,0.1124696091092251,M116.070821T43.9531_2,CHEBI:16313,16313,40,38
4,L-Proline,L-proline,43.95309639,44.94,0.9869036099999988,0.1124696091092251,M116.070821T43.9531_2,CHEBI:17203,17203,22,39
5,L-Allo-threonine,L-allo-threonine,162.3431625,43.8,118.54316250000001,0.3714158319430415,M120.065868T162.3432_4,CHEBI:28718,28718,13,53
6,L-Allo-threonine,L-allo-threonine,43.18729401,43.8,0.6127059899999949,0.8700415347574554,M120.065675T43.1873,CHEBI:28718,28718,13,55
7,"5,6-Dihydrothymine",Dihydrothymine,34.21027756,108.72,74.50972243999999,0.5355431544108075,M128.058725T34.2103_6,CHEBI:27468,27468,62,75
8,"5,6-Dihydrothymine",Dihydrothymine,108.7408524,108.72,0.02085239999999544,0.8123025530144102,M129.065978T108.7409,CHEBI:27468,27468,62,76
9,"5,6-Dihydrothymine",Dihydrothymine,95.10933685,108.72,13.610663149999993,0.0480304276858874,M129.066101T95.1093,CHEBI:27468,27468,62,77
10,5-Oxoproline,L-pyroglutamic acid,45.79685211,240.71999999999997,194.92314788999997,0.9729654169585088,M130.050124T45.7969,CHEBI:18183,18183,197,78
11,5-Oxoproline,L-pyroglutamic acid,76.68104553,240.71999999999997,164.03895446999996,0.9153000510090696,M130.05014T76.681,CHEBI:18183,18183,197,81
12,5-Oxoproline,L-pyroglutamic acid,44.33172989,240.71999999999997,196.38827010999998,0.6043322964215226,M131.053491T44.3317,CHEBI:18183,18183,197,84
13,5-Oxoproline,L-pyroglutamic acid,76.70795822,240.71999999999997,164.01204177999998,0.7454537397809847,M131.053884T76.708,CHEBI:18183,18183,197,87
14,L-Allo-threonine,L-allo-threonine,42.6430645,43.8,1.156935499999996,0.8285735830837124,M142.047854T42.6431,CHEBI:28718,28718,13,108
15,L-Glutamine,L-glutamine,62.19918251,43.92,18.27918251,0.7781104076568801,M147.076352T62.1992_1,CHEBI:18050,18050,15,113
16,L-Glutamine,L-glutamine,43.29953384,43.92,0.6204661599999994,0.069615699,M147.076473T43.2995,CHEBI:18050,18050,15,116
17,L-Lysine,L-lysine,36.6283493,36.78,0.15165069999999758,0.8257151355152514,M147.113048T36.6283_2,CHEBI:18019,18019,1,119
18,L-Glutamine,L-glutamine,43.61069679,43.92,0.30930321000000305,0.1608411674741469,M148.080024T43.6107,CHEBI:18050,18050,15,120
19,L-Lysine,L-lysine,36.55429077,36.78,0.22570922999999965,0.9078162850429822,M148.117029T36.5543,CHEBI:18019,18019,1,123
20,"5,6-Dihydrothymine",Dihydrothymine,42.63454437,108.72,66.08545563,0.1107542932348328,M151.048123T42.6345,CHEBI:27468,27468,62,124
21,4-Hydroxyphenylacetate,4-hydroxyphenylacetic acid,263.0335083,234.48,28.553508300000004,0.6565265936403728,M153.054049T263.0335,CHEBI:18101,18101,188,131
22,4-Hydroxyphenylacetate,4-hydroxyphenylacetic acid,263.0867157,234.48,28.606715700000024,0.3783000022269864,M154.058618T263.0867,CHEBI:18101,18101,188,135
23,L-Histidine,L-histidine,60.79345703,43.08,17.71345703,0.008653628,M156.076881T60.7935,CHEBI:15971,15971,6,140
24,Indole-3-acetaldehyde,Indole-3-acetaldehyde,199.983902,317.76,117.77609799999999,0.5093768672005524,M160.07572T199.9839,CHEBI:18086,18086,303,143
25,Indole-3-acetaldehyde,Indole-3-acetaldehyde,381.0351896,317.76,63.27518960000003,0.667013809,M160.075976T381.0352,CHEBI:18086,18086,303,144
26,Indole-3-acetaldehyde,Indole-3-acetaldehyde,199.4473724,317.76,118.31262759999998,0.4078021244709586,M161.079275T199.4474,CHEBI:18086,18086,303,147
27,arachidonic acid,Arachidonic acid,43.25522041,585.36,542.10477959,0.4894895293401499,M164.118059T43.2552_2,CHEBI:15843,15843,508,148
28,L-Phenylalanine,L-phenylalanine,162.4150543,163.62,1.2049456999999961,0.052684637,M166.086508T162.4151_6,CHEBI:17295,17295,109,154
29,L-Phenylalanine,L-phenylalanine,162.4102936,163.62,1.209706400000016,0.046225477,M167.089818T162.4103_2,CHEBI:17295,17295,109,160
30,Pyridoxamine,Pyridoxamine,162.5963745,169.08,6.4836255000000165,0.036458055,M168.090948T162.5964,CHEBI:16410,16410,112,164
31,L-Glutamine,L-glutamine,42.57835007,43.92,1.3416499300000027,0.2024177663849033,M169.058404T42.5784,CHEBI:18050,18050,15,169
32,L-Lysine,L-lysine,38.20912552,36.78,1.4291255199999995,0.7570211543996864,M169.094911T38.2091_2,CHEBI:18019,18019,1,172
33,Pyridoxamine,Pyridoxamine,167.6165924,169.08,1.4634076000000107,0.4564789581115535,M169.096734T167.6166,CHEBI:16410,16410,112,173
34,L-Glutamate,L-glutamic acid,62.65639496,269.64,206.98360504,0.008779164,M170.040785T62.6564,CHEBI:16015,16015,236,176
35,L-Histidine,L-histidine,41.2218132,43.08,1.8581867999999986,0.0169946548530323,M178.059049T41.2218,CHEBI:15971,15971,6,181
36,L-Tyrosine,L-tyrosine,80.90288162,77.04,3.862881619999996,0.4239567172941694,M182.081511T80.9029_5,CHEBI:17895,17895,51,195
37,L-Tyrosine,L-tyrosine,80.90106964,77.04,3.8610696399999966,0.3588731548410575,M183.084823T80.9011_2,CHEBI:17895,17895,51,197
38,5-Hydroxyindoleacetate,5-hydroxyindoleacetate,196.6753159,150.0,46.67531589999999,0.8257151355152514,M192.067214T196.6753_3,CHEBI:27823,27823,98,215
39,N-Acetylmethionine,N-acetylmethionine,196.6753159,241.14000000000001,44.46468410000003,0.8257151355152514,M192.067214T196.6753_3,CHEBI:21557,21557,201,217
40,L-Tryptophan,L-tryptophan,199.419281,200.64,1.2207189999999741,0.7018276835934618,M205.097436T199.4193_6,CHEBI:16828,16828,144,240
41,D-Tryptophan,D-tryptophan,199.419281,234.42000000000002,35.000719000000004,0.7018276835934618,M205.097436T199.4193_6,CHEBI:16296,16296,187,241
42,L-Tryptophan,L-tryptophan,199.4196472,200.64,1.2203527999999721,0.705807468,M206.100724T199.4196_3,CHEBI:16828,16828,144,242
43,D-Tryptophan,D-tryptophan,199.4196472,234.42000000000002,35.0003528,0.705807468,M206.100724T199.4196_3,CHEBI:16296,16296,187,243
44,5-Hydroxy-L-tryptophan,L-5-hydroxytryptophan,199.9666367,117.36,82.60663670000001,0.5301820003121258,M221.092091T199.9666,CHEBI:17780,17780,67,248
45,6-Hydroxymelatonin,6-hydroxymelatonin,33.62163353,353.04,319.41836647,0.5067696536594177,M271.102696T33.6216,CHEBI:2198,2198,333,266
46,Sphingosine,D-sphingosine,576.2928162,503.04,73.25281619999993,0.012548539136386,M300.289651T576.2928_2,CHEBI:16393,16393,454,296
47,arachidonic acid,Arachidonic acid,38.07123947,585.36,547.28876053,0.5795832969618434,M305.245339T38.0712,CHEBI:15843,15843,508,302
48,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,676.2363281,550.32,125.91632809999999,0.6905187048095455,M379.250628T676.2363_3,CHEBI:37550,37550,487,387
49,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,693.4037781,550.32,143.0837780999999,0.8513751514659597,M380.258133T693.4038,CHEBI:37550,37550,487,388
50,Cholate,Cholate,711.6087036,505.43999999999994,206.16870360000007,0.7468768863819232,M409.292643T711.6087_2,CHEBI:16359,16359,456,407
51,Chenodeoxyglycocholate,Glycochenodeoxycholate,637.7250366,504.9,132.82503659999998,0.2736012440771823,M450.325813T637.725,CHEBI:36274,36274,455,428
52,testosterone glucuronide,Epitestosterone glucuronide,718.3981628,402.48,315.9181628,0.00909437,M465.250499T718.3982_2,CHEBI:28835,28835,388,433
